nome,qtd_cargos,qtd_mandatos
LUCILA PIZANI GONÇALVES,5,1
MARCOS ZERBINI,9,2
WILLIAM WOO,12,2
ANTONIO PAES - BARATÃO,3,1
VANDERLEI JANGROSSI,6,1
FLAVIA PEREIRA,5,1
FRANCISCO CHAGAS,17,4
CLAUDETE ALVES,7,2
JOSE NOGUEIRA,3,1
JOSÉ FERREIRA (ZELÃO),15,3
MANOEL CRUZ,2,1
ZELIA LOPES - D ZELIA,3,1
TIÃO BEZERRA,2,1
ADEMIR DA GUIA,10,1
ADILSON AMADEU,21,4
ABOU ANNI,24,4
AGNALDO TIMÓTEO,16,2
AURÉLIO MIGUEL,28,3
CLAUDINHO DE SOUZA,23,4
CLÁUDIO PRADO,13,2
CHICO MACENA,11,2
TIÃO FARIAS,13,2
JOSÉ ANÍBAL,2,1
JOSÉ POLICE NETO,70,4
LENICE LEMOS,10,1
MARTA COSTA,17,3
PAULO FIORILO,14,2
ADOLFO QUINTAS,14,3
ANTONIO DONATO,27,4
JORGE BORGES,5,1
JORGE TADEU,2,1
JUSCELINO GADELHA,18,2
NOEMI NONATO,21,4
PAULO TEIXEIRA,4,1
ATTILA RUSSOMANNO,8,2
SONINHA FRANCINE,22,2
QUITO FORMIGA,38,4
VITÓRIA NOGUEIRA,1,1
JORGE PEREZ,1,1
SENIVAL MOURA,28,4
BILU VILLELA,2,1
MÁRCIO YOUSSEF,2,1
ALFREDINHO,34,4
MARA GABRILLI,7,2
RICARDO TEIXEIRA,28,4
JOSÉ ROLIM,8,2
PENNA,3,1
JAMIL MURAD,21,2
GABRIEL CHALITA,4,1
MARCELO AGUIAR,2,1
MARCO AURELIO CUNHA,13,2
FLORIANO PESARO,28,2
SOUZA SANTOS,20,3
JULIANA CARDOSO,31,3
SANDRA TADEU,24,3
MILTON FERREIRA,16,2
NETINHO DE PAULA,13,2
EDIR SALES,24,3
ANIBAL DE FREITAS FILHO,15,2
HEIDA LI,2,1
DAVID SOARES,13,3
AFANASIO JAZADJI,0,1
SALOMÃO PEREIRA,15,2
EVERSON MARCOS,1,1
VICTOR KOBAYASHI,1,1
FERNANDO ESTIMA,3,1
OLIVEIRA,4,1
MARQUITO,6,1
RICARDO YOUNG,4,1
OTA,9,2
MARIO COVAS NETO,15,2
REIS,18,2
VAVÁ,10,1
ORLANDO SILVA,2,1
LAÉRCIO BENKO,10,1
GEORGE HATO,13,2
RICARDO NUNES,13,2
ARI FRIEDENBACH,11,1
JEAN MADEIRA,5,1
CORONEL CAMILO,6,1
ANDREA MATARAZZO,13,1
CORONEL TELHADA,5,1
EDUARDO TUMA,17,2
PATRÍCIA BEZERRA,26,2
TONINHO VESPOLI,6,2
ALESSANDRO GUEDES,16,2
JAIR TATTO,13,2
CONTE LOPES,9,2
PR. EDEMILSON CHAVES,7,1
APARECIDO SIDNEY DE OLIVEIRA,0,1
MARCOS BELIZÁRIO,4,1
VALDECIR CABRABOM,8,1
JONAS CAMISA NOVA,7,2
RODOLFO DESPACHANTE,4,1
JOSELITO,1,1
ADRIANA RAMALHO,19,1
ALINE CARDOSO,6,1
FABIO RIVA,13,1
FERNANDO HOLIDAY,9,1
GILBERTO NASCIMENTO,9,1
ISAC FELIX,8,1
SÂMIA BOMFIM,3,1
DANIEL ANNENBERG,3,1
ANDRÉ SANTOS,13,1
ZÉ TURIN,7,1
RINALDI DIGILIO,6,1
RODRIGO GOULART,9,1
CAMILO CRISTÓFARO,7,1
JANAÍNA LIMA,11,1
CAIO MIRANDA CARNEIRO,12,1
XEXÉU TRIPOLI,3,1
RUTE COSTA,13,1
JOÃO JORGE,9,1
RODRIGO GOMES,1,1
ISA PENNA,1,1
AMAURI SILVA,2,1
MANOEL DEL RIO,1,1
CELSO GIANNAZI,2,1
BETO DO SOCIAL,4,1
EDSON APARECIDO,1,1
